NAME,geometry,STATE,STATE_GEOCODE,Avg_CC_Jan,Avg_CC_Feb,Avg_CC_Mar,Avg_CC_Apr,Avg_CC_May,Avg_CC_Jun,Avg_CC_Jul,Avg_CC_Aug,Avg_CC_Sep,Avg_CC_Oct,Avg_CC_Nov,Avg_CC_Dec,CC_Level_Jan,CC_Level_Feb,CC_Level_Mar,CC_Level_Apr,CC_Level_May,CC_Level_Jun,CC_Level_Jul,CC_Level_Aug,CC_Level_Sep,CC_Level_Oct,CC_Level_Nov,CC_Level_Dec,Avg_CC_Summer,CC_Level_Summer,Avg_CC_Autumn,CC_Level_Autumn,Avg_CC_Winter,CC_Level_Winter,Avg_CC_Spring,CC_Level_Spring,ProbCC_30_Jan,ProbCC_30_Feb,ProbCC_30_Mar,ProbCC_30_Apr,ProbCC_30_May,ProbCC_30_Jun,ProbCC_30_Jul,ProbCC_30_Aug,ProbCC_30_Sep,ProbCC_30_Oct,ProbCC_30_Nov,ProbCC_30_Dec
21NTA,"POLYGON Z ((-59.69553619499993 0.9039037310000708 0, -58.70941548899998 0.9045062020000501 0, -58.70920586999995 -0.08844309399995609 0, -59.69520594499994 -0.08838418899995304 0, -59.69553619499993 0.9039037310000708 0))",RR,14,60.2,64.12,50.01,71.45,67.0,51.35,43.22,23.94,27.88,33.23,50.62,75.96,6,6,5,7,6,5,4,2,2,3,5,7,66.3,6,62.54,6,40.87,4,38.78,3,21.43,14.29,37.04,18.52,9.09,26.09,40.74,55.56,64.71,65.0,28.0,8.33
21NTB,"POLYGON Z ((-59.69653692099996 1.807802453000022 0, -58.71005067499993 1.809007681000026 0, -58.70937611999994 0.8160633160000543 0, -59.69547417099994 0.8155197630000544 0, -59.69653692099996 1.807802453000022 0))",RR,14,67.95,67.75,64.54,77.68,75.16,56.24,46.65,24.22,21.52,32.71,51.94,77.32,6,6,6,7,7,5,4,2,2,3,5,7,70.68,7,72.52,7,43.54,4,36.97,3,11.11,18.52,7.69,14.29,4.17,23.81,34.62,77.78,72.22,63.16,37.5,0.0
21NUA,"POLYGON Z ((-58.79727531799995 0.9044634660000384 0, -57.81067782199995 0.9048203880000756 0, -57.81057836599996 -0.0884738129999505 0, -58.79705493999995 -0.08843891599997278 0, -58.79727531799995 0.9044634660000384 0))",PA,15,72.63,74.11,59.09,70.88,65.6,64.98,61.68,16.33,26.2,35.78,54.86,80.21,7,7,5,7,6,6,6,1,2,3,5,8,75.27,7,65.02,6,47.55,4,41.62,4,14.29,6.67,14.29,15.38,16.67,22.22,18.18,80.0,71.43,63.64,15.38,9.09
21NUB,"POLYGON Z ((-58.79794310899996 1.808922188000054 0, -57.81097919199993 1.809636200000057 0, -57.81065914299995 0.8163467760000458 0, -58.79723392899996 0.8160247600000616 0, -58.79794310899996 1.808922188000054 0))",PA,15,79.6,77.55,75.76,83.07,72.16,57.28,61.01,27.81,30.36,36.1,61.94,78.98,7,7,7,8,7,5,6,2,3,3,6,7,78.66,7,77.5,7,48.82,4,44.35,4,0.0,0.0,7.14,7.14,0.0,33.33,18.18,70.0,50.0,58.33,8.33,0.0
21NVA,"POLYGON Z ((-57.89910845199995 0.9047994130000347 0, -56.91227851099995 0.9049104930000453 0, -56.91228927499998 -0.08848262299994758 0, -57.89899814999995 -0.08847176199992646 0, -57.89910845199995 0.9047994130000347 0))",PA,15,72.11,77.34,69.0,73.57,71.27,51.51,44.73,12.58,28.19,33.52,54.05,82.66,7,7,6,7,7,5,4,1,2,3,5,8,76.97,7,71.28,7,35.98,3,40.69,4,7.14,6.67,15.38,7.69,9.09,30.0,22.22,90.0,57.14,58.33,23.08,0.0
21NVB,"POLYGON Z ((-57.89944268599999 1.809594240000024 0, -56.91224589599994 1.809816453000053 0, -56.91228053299994 0.816428070000029 0, -57.89908773599996 0.8163278530000753 0, -57.89944268599999 1.809594240000024 0))",PA,15,73.36,77.89,74.5,81.42,71.33,56.31,49.73,22.43,33.3,32.33,57.43,82.13,7,7,7,8,7,5,4,2,3,3,5,8,77.57,7,76.26,7,41.91,4,41.98,4,7.69,7.14,7.69,0.0,10.0,28.57,33.33,70.0,62.5,50.0,25.0,0.0
21NWA,"POLYGON Z ((-57.00017975699996 0.9049115600000732 0, -56.01336172699996 0.9047765150000373 0, -56.01348276199997 -0.08846952399994734 0, -57.00017973499996 -0.08848272699992776 0, -57.00017975699996 0.9049115600000732 0))",PA,15,66.54,78.13,67.28,74.44,68.53,37.27,27.92,15.09,21.14,29.92,63.05,67.07,6,7,6,7,6,3,2,1,2,2,6,6,70.24,7,69.99,6,26.8,2,40.87,4,7.14,8.33,2.94,10.71,4.55,55.0,54.55,80.0,64.71,63.64,19.23,7.41
21NWB,"POLYGON Z ((-57.00017982399999 1.809818589000031 0, -56.01299496599995 1.809548434000021 0, -56.01338445899995 0.8163071940000464 0, -57.00017975299994 0.8164290330000199 0, -57.00017982399999 1.809818589000031 0))",PA,15,58.68,82.19,74.8,75.38,72.04,41.57,39.78,23.49,24.53,28.33,56.44,67.52,5,8,7,7,7,4,3,2,2,2,5,6,69.24,6,74.25,7,35.56,3,39.14,3,23.08,4.0,0.0,10.71,9.09,41.67,34.78,75.0,68.75,65.0,30.77,6.9
21NWC,"POLYGON Z ((-57.00017993599994 2.714173731000074 0, -56.01238363599998 2.713768419000075 0, -56.01304190499997 1.720537012000023 0, -57.00017981599996 1.720793870000023 0, -57.00017993599994 2.714173731000074 0))",PA,15,62.04,76.45,74.05,72.6,69.68,50.24,45.69,28.38,25.62,23.37,60.44,70.07,6,7,7,7,6,5,4,2,2,2,6,7,69.27,6,72.39,7,41.84,4,39.72,3,17.86,4.0,3.45,0.0,5.0,18.18,31.82,65.0,66.67,70.0,19.23,6.9
21NXA,"POLYGON Z ((-56.10125101799997 0.9047995020000599 0, -55.11468944999996 0.9044184970000515 0, -55.11492060799998 -0.0884345189999749 0, -56.10136127599998 -0.08847177099994497 0, -56.10125101799997 0.9047995020000599 0))",PA,15,70.12,87.79,70.67,76.54,72.47,48.08,38.81,21.35,20.83,33.05,63.14,66.51,7,8,7,7,7,4,3,2,2,3,6,6,73.44,7,73.04,7,37.0,3,42.51,4,0.0,0.0,5.56,7.14,0.0,25.0,38.46,80.0,87.5,60.0,23.08,5.88
